"","movie_title","release_date","genre","mpaa_rating","total_gross","inflation_adjusted_gross","release_year"
"108","Cabin Boy",1994-01-07,"Comedy","PG-13",3469493,7168577,1994
"109","Iron Will",1994-01-14,"Drama","PG",20623071,42610902,1994
"110","Blank Check",1994-02-11,"Comedy","PG",30573770,63170804,1994
"111","Angie",1994-03-04,"Comedy","R",9252349,19116981,1994
"112","The Ref",1994-03-09,"Comedy","R",11325885,23401275,1994
"113","D2: The Mighty Ducks",1994-03-25,"Comedy","PG",45604206,94226333,1994
"114","White Fang 2: Myth of the White Wolf",1994-04-15,"Adventure","PG",8752399,18083994,1994
"115","The Inkwell",1994-04-22,"Comedy","R",8864699,18316030,1994
"116","When a Man Loves a Woman",1994-04-29,"Drama","R",50021959,103354194,1994
"117","3 Ninjas Kick Back",1994-05-06,"Action","PG",11744960,24267154,1994
"118","Renaissance Man",1994-06-03,"Comedy","PG-13",24172899,49945474,1994
"119","The Lion King",1994-06-15,"Adventure","G",422780140,761640898,1994
"120","I Love Trouble",1994-06-29,"Romantic Comedy","PG",30806194,63651027,1994
"121","Angels in the Outfield",1994-07-15,"Comedy","PG",50236831,103798152,1994
"122","In the Army Now",1994-08-12,"Comedy","PG",28881266,59673787,1994
"123","Color of Night",1994-08-19,"Thriller/Suspense","R",19750470,40804816,1994
"124","Camp Nowhere",1994-08-26,"Comedy","PG",10442641,21576332,1994
"125","A Simple Twist of Fate",1994-09-02,"Drama","PG-13",3404935,7035189,1994
"126","Quiz Show",1994-09-14,"Drama","PG-13",24787282,50840394,1994
"127","Terminal Velocity",1994-09-23,"Action","PG-13",16478900,34048315,1994
"128","Ed Wood",1994-09-30,"Comedy","R",5828466,12042634,1994
"129","The Puppet Masters",1994-10-21,"Horror","R",8579626,17727017,1994
"130","Squanto: A Warrior's Tale",1994-10-28,"Drama","PG",3319344,6858345,1994
"131","The Santa Clause",1994-11-11,"Comedy","PG",144833357,298369717,1994
"132","A Low Down Dirty Shame",1994-11-23,"Action","R",29317886,60321919,1994
"133","The Jungle Book",1994-12-25,"Adventure","PG",44342956,88930321,1994
"134","Houseguest",1995-01-06,"Comedy","PG",26325256,51016522,1995
"135","Bad Company",1995-01-20,"Thriller/Suspense","R",3523909,6829092,1995
"136","Miami Rhapsody",1995-01-27,"Romantic Comedy","PG-13",5086578,9857435,1995
